"""Illinois Dolostone"""
Council Grove Grp
Cow Branch Fm
Cowie Fm
Cowlitz Fm
Cozy Dell Fm
Crab Orchard Sh
Craghead Creek Sh
Creede Fm
Crockett Fm
Crouse Ls
Crow Mountain Fm
Crow Mountain Ss
Crown Point Ls
Cruziana Sh
Crystal River Fm
Crystal Spring
Crystal Springs Fm
Cuba Ss
Cuba Ss?
Cuchara Fm
Cullom Ls
Cullum Ls
Culm Kalk
Cummingsville Fm
Cumnock Fm
Cundlego Fm
Curzon Ls
Cutler Fm
Cutter fm
Cuyahoga Fm
Cuyahoga Shale
Cynthiana ls
Cynthiana Ls
Cypremera Sh
Cypress Creek Ch
Cypress Hills Fm
Cypridina Schiefer
Cypris Sh
Cyrene Ls
Cyrenenmergel
Da-bu Fm
Dagger Flat Ss
Dakhla Fm
Dakota Fm
Dakota Fm?
Dakota Sandstone
Dakota Ss
Dakota Ss?
Dande Fm
Davidsville Grp
Davis Fm
Dawson Bay fm
Day Point Ls
De Chelly Ss
Deadwood Fm
Debeque Fm
Debeque Fm?
Decatur Ls
Decaturville Chert
DeCew Dol
Decker Ferry Fm
Decorah fm
Decorah Fm
Decorah Sh
Deep River Fm
Deep River Fm?
Deep Spring Fm
Deepkill Sh
Deer Creek Ls
Deer River Sh
Deese Fm
Del Rio Clay
Del Rio Fm
Delaware Ls
Delaware ls
Delaware Mountain Fm
Delaware Mountain Grp
Delphi Sta Sh
Delthyris Ls
Denison Fm
Denley Fm
Denley Ls
Denmark Fm
Denmark Fm?
Dennis Fm
Dennis Ls
Denton Clay
Denver Fm
Depass Fm
Depot Island Fm
Deseado Fm
Detroit River Grp
Devil's Gate Fm
Devils Gate Ls
Devil's Graveyard Fm
Devonshire Fm
Dewey Ls
Dexterville Fm
Dexterville Sh
Dhok Pathan Fm
Dhok Pathan Fm?
Dillsboro Fm
Dimple Ls
Dixon Fm
Djadochta Fm
Djadokhta Fm
Dockum Fm
Doctors Brook Fm
Dogger alpha
Dogger beta
Dogger delta
Dogger epsilon
Dogger Fm
Dogger gamma
Dogger zeta
Dokum Fm
Dolgeville Fm
Dolores Fm
Dolores Ls
Double Mountain Fm
Douglas Fm
Douglas Grp
Dou-mu Fm
Dover Ls
Drakes Fm
DreimÅhlen Fm
Dresbach Ss
Drum Fm
Drum Ls
Du Bois Ls
Dubuque Fm
Duchesne River Fm
Duchesne River Fm?
Duck Creek Fm
Duck Creek Ls
Dugger Fm
Dundee Ls
Dunedoo Fm
Dunkard Fm
Dunkirk Sh
Dunvegan Fm
Duplin Fm
Dutchtown Fm
Eagle Fm
Eagle Ford Sh
Eagle Ss
Earp Fm
East Arm Fm
East Berlin Fm
East Berlin Fm?
Eastland Lake Fm
Eau Claire Ss
Eau Claire Ss ?
Echinosphaerites Ls
Echinosphaerites Ls (c)
Eden Fm
Edgewood fm
Edgewood Ls
Edmonton Fm
Edmunds Fm
Edwards Fm
Edwards Ls
Edwardsville Fm
Eifel Ls
Eifel Ls.
Eke Fm
Ekora Fm
El Mamey Fm
El Molino Fm
El Paso Ls
Elanka Fm
Elkhorn Fm
Elko Fm
Ellicott Sh
Ellis Bay Fm
Ellis Bay fm
Ellis Fm
Elmdale Fm
Elmsdale Sh
Elway Ls
Ely Ls
Embsay Ls
Emigrant Fm
Eminence Dol
Emporia Ls
Ems Qtz
Emscher Fm
Enfield Fm
Engadine Dol
English Head Fm
English Head Fm?
English River Fm
Englishtown Fm
Entre Rios Fm
Eramosa Dol
Erdbach Ls
Erie Sh
Ervine Creek Ls
Esbataottine Fm
Escudo de Veraguas Fm
Escuminac Fm
Esinokalk
Eskridge Sh
Esopus Grit
Etage 3
Etage C
Etage Cc2
Etage D
Etage Dd1
Etage Dd1 alpha
Etage Dd1 beta
Etage Dd1 gamma
Etage Dd1delta
Etage Dd2
Etage Dd3
Etage Dd4
Etage Dd5
Etage E
Etage Ee
Etage Ee1
Etage Ee2
Etage F
Etage Ff1
Etage Ff2
Etage G
Etage Gg1
Etage Gg2
Etage Gg3
Etage Hh1
Etchegoin Fm
Eutaw Fm
Everton Fm
Eype Clay
Fairmont Fm
Fairview Fm
Falang Fm
Falkirk Dol
Falls City Ls
